OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051NX,2026-03-20T03:00:53.786592,14.48149642,.00099225,86.3257,326.4201,115.4371,244.7860,0,U,35051,999,88405,.45089431E-3,.17E-4,0
IRIDIUM 33 DEB,1997-051NY,2026-03-20T10:46:21.539424,14.38639968,.0013263,86.3350,338.6066,116.9527,243.3027,0,U,35052,999,88680,.15163423E-3,.485E-5,0
IRIDIUM 33 DEB,1997-051PF,2026-03-20T04:57:01.448064,15.06355775,.00338892,86.2108,5.1482,171.5950,188.5861,0,U,35080,999,71144,.36337985E-2,.54504E-3,0
IRIDIUM 33 DEB,1997-051PM,2026-03-13T03:39:03.551616,14.45633446,.00143837,86.3888,24.1447,196.3803,163.6937,0,U,35297,999,71732,.68458517E-3,.2441E-4,0
IRIDIUM 33 DEB,1997-051PP,2026-03-20T17:12:49.568832,14.41761105,.00560538,86.2917,350.5137,136.3457,253.7192,0,U,35299,999,87742,.10897145E-2,.3643E-4,0
IRIDIUM 33 DEB,1997-051QA,2026-03-20T10:42:32.363424,14.50335811,.00149087,86.3605,342.5528,130.3956,229.8553,0,U,35480,999,88447,.43154289E-3,.1705E-4,0
IRIDIUM 33 DEB,1997-051QE,2026-03-17T21:15:20.355264,15.08193596,.00148401,86.3507,307.8846,135.1901,225.0537,0,U,35484,999,63445,.16373111E-2,.2546E-3,0
IRIDIUM 33 DEB,1997-051QJ,2026-03-20T05:25:09.376608,14.85534482,.0026789,86.3196,255.8258,56.5640,303.8140,0,U,35488,999,89712,.69139E-3,.6038E-4,0
IRIDIUM 33 DEB,1997-051QN,2026-03-20T01:18:14.457600,14.84993433,.00080481,86.3509,301.2384,184.6407,175.4743,0,U,35616,999,89017,.97261527E-3,.8324E-4,0
IRIDIUM 33 DEB,1997-051QQ,2026-03-18T09:07:31.582560,14.52765053,.00303407,86.3392,311.6833,58.4796,301.9367,0,U,35618,999,66782,.35577797E-3,.149E-4,0
IRIDIUM 33 DEB,1997-051QS,2026-03-20T23:28:12.663840,14.40799573,.01305119,86.3909,175.9527,292.8256,65.9203,0,U,35620,999,61379,.19995992E-2,.7101E-4,0
IRIDIUM 33 DEB,1997-051QU,2026-03-20T20:04:50.824704,15.15126048,.00076024,86.1953,214.7831,255.1094,256.4908,0,U,35622,999,88840,.19186274E-2,.36116E-3,0
IRIDIUM 33 DEB,1997-051RA,2026-03-17T10:20:41.742816,14.69355097,.00126375,86.3586,326.8021,15.5556,344.6045,0,U,35628,999,87836,.74469255E-3,.4427E-4,0
IRIDIUM 33 DEB,1997-051RD,2026-03-18T16:34:32.371680,14.47655762,.00172955,86.3711,339.6707,154.1835,235.7000,0,U,35631,999,88585,.285465E-3,.1074E-4,0
IRIDIUM 33 DEB,1997-051RJ,2026-03-18T11:51:01.472256,14.22452930,.01528006,86.1047,339.0868,335.8664,202.8220,0,U,35680,999,62061,.18187491E-2,.4583E-4,0
IRIDIUM 33 DEB,1997-051RX,2026-03-21T07:34:06.395520,14.72533887,.00193708,86.3231,280.8358,214.0795,145.9179,0,U,35744,999,88781,.97176014E-3,.6215E-4,0
IRIDIUM 33 DEB,1997-051SF,2026-03-19T07:33:48.405312,14.85956468,.00111961,86.3298,285.4844,171.1128,189.0297,0,U,35797,999,88773,.95191348E-3,.8344E-4,0
IRIDIUM 33 DEB,1997-051SQ,2026-03-14T11:46:20.666208,14.58537058,.00150518,86.3485,340.2082,112.5295,247.7509,0,U,35806,999,87661,.13383214E-2,.625E-4,0
IRIDIUM 33 DEB,1997-051ST,2026-03-21T07:13:38.627328,14.78147469,.00098844,86.3228,290.3753,265.7912,94.2179,0,U,35809,999,88262,.13980293E-2,.10156E-3,0
IRIDIUM 33 DEB,1997-051SW,2026-03-21T01:44:13.185312,14.43604030,.00161845,86.3798,16.8560,203.7158,156.3299,0,U,35846,999,72747,.49257316E-3,.1691E-4,0
IRIDIUM 33 DEB,1997-051SY,2026-03-21T10:38:45.554784,14.81497995,.00055523,86.3909,331.6495,209.2905,150.8007,0,U,35848,999,68150,.19003145E-2,.14937E-3,0
IRIDIUM 33 DEB,1997-051TA,2026-03-20T21:31:46.285536,14.81552540,.00078555,86.3457,299.4992,208.9410,151.1378,0,U,35850,999,72809,.111626E-2,.8791E-4,0
IRIDIUM 33 DEB,1997-051TY,2026-03-18T08:09:59.032512,14.83838309,.00090431,86.3399,299.1678,218.2698,141.7884,0,U,35915,999,9502,.89629986E-3,.7462E-4,0
IRIDIUM 33 DEB,1997-051UB,2026-03-20T15:15:46.142208,14.52175099,.0024244,86.4031,33.7454,198.7825,341.1214,0,U,35918,999,86627,.88833E-3,.3634E-4,0
IRIDIUM 33 DEB,1997-051UN,2026-03-08T06:46:46.443072,15.09674475,.00152582,86.3393,271.8840,69.7211,290.5665,0,U,35929,999,89067,.3863549E-2,.62834E-3,0
IRIDIUM 33 DEB,1997-051US,2026-03-21T00:12:14.689440,14.41709050,.00162236,86.3461,353.2193,258.1246,116.1081,0,U,36011,999,65956,.36362167E-3,.1206E-4,0
IRIDIUM 33 DEB,1997-051UT,2026-03-20T06:04:37.331904,14.20695163,.0215174,86.4380,268.1524,311.6161,46.6764,0,U,36012,999,66868,.10781E-2,.2951E-4,0
IRIDIUM 33 DEB,1997-051VK,2026-03-21T05:31:41.856384,15.00900263,.00163208,86.3164,260.1546,52.0502,308.2202,0,U,36028,999,88599,.26087919E-2,.33435E-3,0
IRIDIUM 33 DEB,1997-051VM,2026-02-25T12:04:53.950080,14.47006283,.00148253,86.3236,335.4170,275.8181,84.1332,0,U,36080,999,48495,.52714098E-3,.1938E-4,0
IRIDIUM 33 DEB,1997-051VQ,2026-03-21T12:11:09.642336,14.43659586,.00239275,86.3488,351.6340,260.0019,99.8482,0,U,36083,999,86874,.54912093E-3,.1888E-4,0
IRIDIUM 33 DEB,1997-051VU,2026-03-13T05:32:14.398944,14.74947722,.00283721,86.2884,257.8618,213.0455,146.8992,0,U,36390,999,67595,.10349627E-2,.7022E-4,0
IRIDIUM 33 DEB,1997-051VZ,2026-03-19T02:03:21.688416,14.46222471,.00092572,86.3844,11.2332,155.2517,204.9132,0,U,36483,999,66538,.44683705E-3,.1619E-4,0
IRIDIUM 33 DEB,1997-051WG,2026-03-20T10:19:25.059360,14.79054423,.00054006,86.3658,326.3138,74.7214,285.4603,0,U,36490,999,87927,.90787519E-3,.674E-4,0
IRIDIUM 33 DEB,1997-051WK,2026-03-20T22:38:01.230720,14.66837463,.00119373,86.3582,328.0120,24.0488,336.1281,0,U,36493,999,75957,.88206376E-3,.495E-4,0
IRIDIUM 33 DEB,1997-051XH,2026-03-21T01:07:50.874240,14.52202085,.00222079,86.3565,0.5623,220.8460,139.1082,0,U,37548,999,66958,.66705433E-3,.2734E-4,0
IRIDIUM 33 DEB,1997-051XK,2026-03-21T10:42:09.336096,14.68980097,.00047554,86.3802,340.0829,105.4420,254.7320,0,U,37550,999,87781,.14050481E-2,.8256E-4,0
IRIDIUM 33 DEB,1997-051XX,2026-03-19T01:36:04.520736,14.57608550,.00251573,86.3794,1.5654,134.9341,236.1226,0,U,37562,999,87731,.80728173E-3,.3713E-4,0
IRIDIUM 33 DEB,1997-051YA,2026-03-18T10:05:32.803584,14.52049588,.00145228,86.3518,327.9028,114.7813,245.4906,0,U,37565,999,67225,.38480119E-3,.1578E-4,0
