OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32708,2025-003J,2026-03-21T02:12:18.585792,15.27605988,.00021846,43.0000,224.7233,276.8889,83.1714,0,U,62495,999,6829,.82325309E-3,.2248E-3,0
STARLINK-32718,2025-003K,2026-03-21T02:54:39.717792,15.27606611,.0001421,43.0013,224.0883,270.0959,89.9730,0,U,62496,999,6830,.87327083E-3,.23866E-3,0
STARLINK-32729,2025-003L,2026-03-20T16:06:39.907872,15.27593533,.00017442,43.0018,226.7223,269.0020,91.0632,0,U,62497,999,6835,.74812365E-3,.2039E-3,0
STARLINK-32739,2025-003M,2026-03-20T16:28:52.630464,15.27594129,.00018233,42.9996,226.8422,284.3399,75.7250,0,U,62498,999,6830,.91821396E-3,.25102E-3,0
STARLINK-32714,2025-003N,2026-03-21T02:34:30.919584,15.27597270,.00013558,43.0024,224.8444,279.6043,80.4656,0,U,62499,999,6841,.42854543E-3,.11555E-3,0
STARLINK-32685,2025-003P,2026-03-20T18:32:40.120512,15.27550026,.00016324,43.0016,226.6298,276.4429,83.6237,0,U,62500,999,6831,.12032358E-2,.32966E-3,0
STARLINK-32691,2025-003Q,2026-03-20T16:27:01.762848,15.27589743,.00013503,42.9976,226.8274,262.1854,97.8844,0,U,62501,999,6834,.70894248E-3,.19303E-3,0
STARLINK-32788,2025-003R,2026-03-20T16:21:28.625184,15.27588550,.00012083,42.9991,226.8038,265.0851,94.9863,0,U,62502,999,6823,.50516371E-3,.13668E-3,0
STARLINK-32768,2025-003S,2026-03-21T02:56:30.604416,15.27595470,.0002031,43.0031,224.0920,268.8816,91.1803,0,U,62503,999,6830,.92054862E-3,.25168E-3,0
STARLINK-32792,2025-003T,2026-03-20T18:52:46.432992,15.27618941,.00018084,43.0045,225.8680,280.7962,79.2686,0,U,62504,999,6825,.12693357E-2,.34874E-3,0
STARLINK-32725,2025-003U,2026-03-20T18:54:37.667808,15.27588371,.00013858,43.0033,225.8642,269.3368,90.7325,0,U,62505,999,6825,.10308981E-2,.28222E-3,0
STARLINK-32681,2025-003V,2026-03-20T16:35:44.548512,15.27599313,.00018705,43.0026,208.2836,264.9767,95.0871,0,U,62506,999,6856,.82759172E-3,.22595E-3,0
STARLINK-32679,2025-003W,2026-03-20T18:49:17.217120,15.27596176,.0000736,43.0017,226.6819,287.7898,72.2874,0,U,62507,999,6836,.87388E-3,.23875E-3,0
STARLINK-32749,2025-003X,2026-03-20T16:12:13.016160,15.27602976,.00010114,43.0007,226.7502,252.7351,107.3390,0,U,62508,999,6823,.67748353E-3,.1844E-3,0
STARLINK-32744,2025-003Y,2026-03-20T18:38:11.268384,15.27594880,.00017981,43.0026,226.6591,280.1827,79.8822,0,U,62509,999,6824,.9540575E-3,.26097E-3,0
STARLINK-32701,2025-003Z,2026-03-21T01:57:30.905280,15.27598830,.00019865,43.0015,224.6461,279.4155,80.6472,0,U,62510,999,6829,.85360701E-3,.23315E-3,0
STARLINK-11452 [DTC],2025-004A,2026-03-20T03:33:01.489824,15.70917657,.0003117,42.9989,7.6647,253.8557,106.1968,0,U,62511,999,6977,.1261813E-2,.165277E-2,0
STARLINK-11443 [DTC],2025-004B,2026-03-21T01:40:43.805280,15.70970733,.00021784,43.0000,2.5556,251.6857,108.3774,0,U,62512,999,6899,.190144E-2,.252475E-2,0
STARLINK-11440 [DTC],2025-004C,2026-03-20T19:11:32.142048,15.70957381,.0001773,43.0002,3.9589,279.7000,80.3668,0,U,62513,999,6895,.16449252E-2,.217298E-2,0
STARLINK-11514 [DTC],2025-004D,2026-03-20T04:58:15.547296,15.70859656,.00015513,43.0002,7.2471,288.6690,71.4009,0,U,62514,999,6886,.10679113E-2,.139008E-2,0
STARLINK-11508 [DTC],2025-004E,2026-03-20T04:49:17.903424,15.70873172,.00015736,43.0024,7.1958,268.3072,91.7615,0,U,62515,999,6886,.11309135E-2,.14747E-2,0
STARLINK-11510 [DTC],2025-004F,2026-03-21T00:00:00.999648,15.70937582,.00014889,43.0005,2.8294,266.5875,117.5845,0,U,62516,999,589,-.15399229E-2,-.194296E-2,0
STARLINK-11512 [DTC],2025-004G,2026-03-21T01:48:11.262240,15.70916427,.00008057,43.0004,1.6988,208.6494,151.4329,0,U,62517,999,6900,.18434197E-2,.243945E-2,0
STARLINK-11450 [DTC],2025-004H,2026-03-20T03:40:40.485504,15.70915379,.00018375,42.9998,7.7039,244.1031,115.9647,0,U,62518,999,6885,.1192933E-2,.156023E-2,0
STARLINK-11507 [DTC],2025-004J,2026-03-20T23:38:35.426400,15.70873442,.00020988,42.9973,2.7643,303.7172,56.3496,0,U,62519,999,6898,.16954762E-2,.223369E-2,0
STARLINK-11482 [DTC],2025-004K,2026-03-21T01:55:50.085120,15.70893266,.00018767,43.0011,1.7405,277.4365,82.6290,0,U,62520,999,6900,.16498354E-2,.217363E-2,0
STARLINK-11528 [DTC],2025-004L,2026-03-21T00:00:00.999648,15.70912154,.0001456,43.0003,2.8976,272.9021,81.2079,0,U,62521,999,600,-.11319735E-2,-.143651E-2,0
STARLINK-11516 [DTC],2025-004M,2026-03-20T03:25:23.214720,15.70861835,.0001485,43.0001,7.6157,274.4274,85.6424,0,U,62522,999,6885,.14959523E-2,.196282E-2,0
STARLINK-11527 [DTC],2025-004N,2026-03-20T12:19:27.272640,15.70944837,.00014785,43.0000,5.2299,276.3860,83.6839,0,U,62523,999,6891,.16343979E-2,.215748E-2,0
STARLINK-32748,2025-004P,2026-03-20T13:31:04.667808,15.27590876,.0001108,42.9985,158.2860,270.5377,89.5347,0,U,62524,999,6812,.49518E-3,.13393E-3,0
STARLINK-32777,2025-004Q,2026-03-20T22:19:14.293056,15.27608361,.00018984,43.0011,156.7452,270.7891,89.2743,0,U,62525,999,6817,.10867536E-2,.2979E-3,0
STARLINK-32741,2025-004R,2026-03-20T22:03:15.892416,15.27587565,.00014111,43.0004,153.1970,274.2053,85.8637,0,U,62526,999,6821,.58759544E-3,.15946E-3,0
STARLINK-32754,2025-004S,2026-03-20T21:44:03.681888,15.27589811,.00009634,42.9995,156.5562,267.5637,92.5104,0,U,62527,999,6722,.49028188E-3,.13258E-3,0
STARLINK-32786,2025-004T,2026-03-20T22:30:08.891424,15.27605988,.00008717,43.0038,155.9384,205.1229,154.9580,0,U,62528,999,6723,.16537725E-2,.45564E-3,0
STARLINK-32789,2025-004U,2026-03-20T14:02:32.089632,15.27591001,.0001244,43.0004,158.4452,289.7842,70.2875,0,U,62529,999,6812,.51902E-3,.14052E-3,0
STARLINK-32791,2025-004V,2026-03-20T21:32:57.580224,15.27597188,.00002057,42.9945,156.4915,311.6335,48.4499,0,U,62530,999,6817,.59757607E-3,.16227E-3,0
STARLINK-32785,2025-004W,2026-03-20T22:04:25.013280,15.27595424,.0001439,43.0002,156.6689,276.6748,83.3939,0,U,62531,999,6817,.5458456E-3,.14796E-3,0
STARLINK-11538 [DTC],2025-006A,2026-03-21T05:51:27.470880,15.71027447,.00017657,43.0013,69.8885,241.4315,118.6375,0,U,62554,999,6842,.25260887E-2,.339961E-2,0
STARLINK-11534 [DTC],2025-006B,2026-03-20T08:37:16.982976,15.70830206,.00009093,42.9975,75.2954,235.9795,124.0986,0,U,62555,999,6828,.59647183E-3,.76764E-3,0
STARLINK-11515 [DTC],2025-006C,2026-03-21T05:28:43.726368,15.71024636,.00013336,42.9985,70.6556,132.9165,227.1814,0,U,62556,999,6841,.1831816E-2,.243496E-2,0
STARLINK-11478 [DTC],2025-006D,2026-03-21T06:29:41.193024,15.71033561,.00008429,42.9991,70.1001,162.6857,197.4040,0,U,62557,999,6842,.18031454E-2,.239658E-2,0
STARLINK-11358 [DTC],2025-006E,2026-03-21T06:22:02.439264,15.70931594,.00012266,43.0019,70.0582,262.7251,97.3477,0,U,62558,999,6842,.22726893E-2,.303227E-2,0
STARLINK-11517 [DTC],2025-006F,2026-03-20T09:15:29.953440,15.70834322,.00023499,43.0017,75.5074,259.6020,100.4583,0,U,62559,999,6828,.10940073E-2,.142329E-2,0
