OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1484,2020-038AC,2026-03-21T14:18:52.867872,16.33898837,0.0005296,52.9887,353.6949,247.2428,112.8056,45756.0,999.0,32062.0,0.00074729,0.05168605,1.2174e-05
STARLINK-1587,2020-057AS,2026-03-21T13:28:57.367776,16.23374242,0.0008504,53.0203,154.2895,349.0651,11.0201,46157.0,999.0,30938.0,0.0014996,0.03934582,1.1943e-05
ION-MK01,2020-061C,2026-03-21T04:29:19.048128,15.92547264,0.00031606,97.1927,159.7668,222.9115,137.1913,46274.0,999.0,30947.0,0.00085572686,0.00289145,3.3538833e-05
STARLINK-1752,2020-062P,2026-03-20T23:21:03.812256,16.03501542,0.00084307,53.0325,268.8979,285.7019,74.3081,46338.0,999.0,30680.0,0.0012357039,0.00794824,0.00032105768
STARLINK-1765,2020-062V,2026-03-21T06:08:17.525760,15.96502253,0.00075968,53.034,242.498,284.3882,75.6303,46344.0,999.0,30720.0,0.0025874906,0.01109728,0.00059557164
STARLINK-1726,2020-062AP,2026-03-21T01:39:49.934880,16.15864376,0.00098858,53.0296,200.9793,314.408,45.6146,46362.0,999.0,30777.0,0.0011802262,0.01655956,0.0023928194
STARLINK-1648,2020-070B,2026-03-21T04:49:10.745184,16.01692225,0.00037212,53.0393,66.7583,39.3422,320.7877,46533.0,999.0,30205.0,0.0015265076,0.00878239,0.000386319
STARLINK-1814,2020-073AU,2026-03-21T12:52:28.671744,16.09836832,0.0010586,53.0296,123.4057,26.5252,333.6322,46712.0,999.0,29982.0,0.0013972,0.01325602,0.001152
STARLINK-1820,2020-073AZ,2026-03-21T04:00:00.999936,15.95236085,0.00067966,53.0355,103.816,29.5711,287.6012,46717.0,999.0,603.0,0.00083023567,0.0033234,5.4728365e-05
STARLINK-1843,2020-088M,2026-03-21T06:00:02.999808,15.94306606,0.00093431,53.041,184.2791,358.8032,29.0118,47133.0,999.0,594.0,0.0016590478,0.00635116,0.00017724076
STARLINK-1955,2021-009J,2026-03-21T12:07:21.804672,16.22361526,0.0005413,53.0247,263.0634,224.0785,135.9823,47556.0,999.0,28349.0,0.00050376,0.01207232,1.1874e-05
STARLINK-1971,2021-009AA,2026-03-21T06:00:02.999808,15.97673653,0.00059848,53.0347,262.8795,304.2823,134.2698,47572.0,999.0,599.0,0.0015275507,0.00700648,0.00022619105
STARLINK-2022,2021-012Z,2026-03-21T00:15:52.706016,16.10757853,0.00081321,53.003,278.8545,272.9073,87.103,47643.0,999.0,28311.0,0.0012459024,0.01254243,0.0010276251
STARLINK-2488,2021-027BF,2026-03-21T03:26:28.273056,16.08165321,0.00047348,53.0337,48.845,150.8696,209.2601,48145.0,999.0,27514.0,0.0014533944,0.01233259,0.00093445291
STARLINK-3050,2021-082BC,2026-03-21T06:24:31.923360,16.18403649,0.00058,69.9878,227.92,280.483,79.5736,49180.0,999.0,24981.0,0.0012066,0.02049387,4.1758e-06
STARLINK-3149,2021-104R,2026-03-21T03:05:35.792736,16.04997842,0.0001371,53.2127,161.286,52.5804,307.5355,49423.0,999.0,24058.0,0.0011284866,0.00790859,0.00032548535
STARLINK-3258,2021-125BC,2026-03-21T14:13:16.480704,16.23985537,0.0001747,53.2047,164.9471,339.997,20.1003,50206.0,999.0,23674.0,0.00080093,0.02189159,1.1917e-05
TRANSPORTER-3 OBJECT CN,2022-002CN,2026-03-20T20:32:11.544288,16.01693913,0.00070996,97.2898,164.7292,245.8948,114.1589,51068.0,999.0,23347.0,0.0013183219,0.00734923,0.00025703677
JILIN-1 GAOFEN 03D16,2022-019L,2026-03-20T21:45:16.970688,15.94591497,0.00030592,97.3654,175.4385,229.9352,130.1655,51834.0,999.0,22635.0,0.0011927104,0.00448625,8.2328691e-05
STARLINK-3855,2022-049Z,2026-03-21T07:21:46.242144,16.18070688,0.0004047,53.2083,336.1061,231.05,129.0179,52474.0,999.0,21443.0,0.0012654,0.01989498,0.0045088
NUSAT-31 (RUBY PAYNE-S),2022-057W,2026-03-21T06:11:44.051136,16.02020979,0.00064687,97.6399,251.3067,279.9884,80.0664,52752.0,999.0,21381.0,0.0013361518,0.00758643,0.00027708181
